ESTU_GENERO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_AREA_UBICACION,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL
0,6,3,1,1,0,1,15,120,0,55,54,60,57,51.0,280
1,21,3,1,1,1,1,15,45,0,44,47,46,35,41.0,214
1,31,2,1,1,1,1,15,45,0,52,47,46,42,51.0,235
0,15,2,1,1,1,1,15,45,0,69,63,60,68,64.0,325
1,22,1,1,1,1,1,15,15,1,61,61,64,52,48.0,293
0,13,2,1,1,1,2,90,120,0,56,55,59,40,50.0,262
1,2,3,1,1,1,0,45,15,0,54,49,42,39,56.0,234
0,6,2,1,1,1,1,15,180,0,45,61,51,41,52.0,248
0,25,0,0,0,0,0,0,0,0,40,41,39,37,32.0,193
0,14,3,0,1,0,2,90,45,0,66,58,57,54,52.0,291
1,29,1,0,1,1,0,90,0,0,70,73,79,75,75.0,372
1,14,1,0,0,0,0,45,0,1,43,45,47,39,51.0,220
0,5,4,1,1,0,2,45,180,0,61,63,61,54,60.0,299
1,18,1,0,0,0,0,15,0,0,48,47,49,42,46.0,232
1,2,4,1,1,1,2,0,120,1,71,75,69,68,77.0,356
0,2,2,0,0,0,1,0,120,0,44,45,34,41,37.0,203
0,25,0,0,1,1,1,15,0,0,47,40,41,50,43.0,222
0,15,2,1,1,1,1,15,45,0,41,45,42,38,43.0,208
0,23,2,1,1,1,2,0,45,0,42,45,41,31,44.0,200
1,22,2,0,0,0,1,45,15,0,73,70,61,73,43.0,336
1,6,1,0,1,0,2,0,0,0,44,45,44,40,50.0,219
1,2,3,1,1,1,1,45,15,0,59,46,45,52,45.0,250
0,23,4,1,1,1,1,15,180,0,55,44,45,37,52.0,229
0,2,1,1,1,0,2,15,120,0,50,43,34,35,34.0,200
0,29,1,0,1,0,0,0,45,0,55,40,41,49,49.0,232
0,6,2,1,0,0,1,120,180,0,61,60,58,58,61.0,297
0,15,4,1,1,1,1,45,180,0,54,72,55,62,63.0,305
1,30,4,0,1,0,1,15,15,1,40,40,37,34,45.0,192
0,4,0,0,1,0,2,15,120,0,51,38,44,40,57.0,222
1,15,4,1,1,1,1,15,45,0,55,46,55,53,58.0,263
0,6,1,0,1,0,1,15,45,0,58,44,43,59,40.0,251
0,23,1,0,0,0,1,0,180,0,43,47,44,44,54.0,226
0,15,2,1,1,1,2,15,45,0,46,54,52,55,54.0,260
0,2,1,0,0,1,2,0,120,1,45,51,47,44,51.0,235
1,15,2,0,1,0,1,15,45,0,61,52,61,63,55.0,295
0,14,3,1,1,0,2,120,180,0,47,43,48,41,46.0,224
0,15,4,1,1,1,1,45,120,0,59,61,58,60,74.0,303
1,2,2,0,0,0,0,90,15,0,60,35,49,50,47.0,242
1,31,3,1,1,1,1,15,180,1,74,69,70,67,76.0,352
1,31,2,1,1,1,1,45,45,0,69,69,65,65,57.0,331
1,6,2,0,0,1,1,0,120,0,56,51,47,52,46.0,255
0,15,1,0,1,0,1,45,120,0,67,66,62,56,56.0,311
0,5,1,0,0,0,1,0,45,1,60,40,47,60,62.0,263
1,2,2,1,1,0,0,15,45,0,44,49,43,48,48.0,231
1,21,4,1,1,1,0,45,120,1,70,50,54,63,75.0,302
1,4,1,1,1,1,0,90,180,0,73,74,68,71,61.0,353
1,11,1,0,1,0,2,90,45,0,44,44,37,34,50.0,203
0,15,2,1,1,1,0,0,120,0,55,43,49,47,41.0,240
0,14,3,1,1,1,1,15,45,0,59,48,51,55,54.0,267
0,15,1,0,0,1,2,15,15,0,37,51,47,43,28.0,216
1,14,1,0,1,1,1,15,45,0,55,55,55,50,46.0,266
0,15,2,1,1,1,1,45,45,0,58,58,57,59,60.0,291
0,15,2,1,0,1,0,120,120,0,57,50,57,55,59.0,275
0,20,3,1,1,1,0,45,120,0,61,50,46,49,63.0,262
0,6,1,0,1,0,2,45,45,0,36,33,33,27,34.0,162
1,6,2,0,1,1,2,45,180,0,60,63,58,57,54.0,295
1,5,1,0,0,0,0,45,120,0,63,73,56,55,50.0,304
1,5,2,0,1,0,1,15,120,0,55,54,57,47,44.0,263
1,31,2,0,1,0,2,15,15,1,51,40,48,43,48.0,228
0,2,2,1,1,1,1,45,180,0,59,46,44,44,50.0,242
0,14,3,0,1,1,1,15,120,0,66,43,50,58,57.0,272
1,25,2,1,1,1,1,15,120,0,52,58,63,62,67.0,297
1,15,2,1,1,1,1,45,120,0,64,70,70,66,61.0,335
1,14,0,1,1,1,0,0,120,0,54,55,55,54,51.0,271
1,26,1,0,1,0,0,0,15,0,56,60,54,51,48.0,273
1,5,1,0,1,0,0,90,180,0,44,52,29,40,34.0,203
1,6,2,1,1,1,2,15,45,0,57,61,51,54,47.0,275
1,26,4,1,1,1,1,45,45,0,63,70,71,62,59.0,330
1,10,1,0,0,0,1,15,45,1,42,44,48,33,48.0,211
0,15,2,1,1,1,1,90,120,0,44,47,46,39,45.0,220
1,20,1,0,1,0,1,15,45,0,42,39,43,37,48.0,204
1,15,3,1,1,1,1,15,45,0,55,58,59,56,52.0,283
