ESTU_GENERO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_AREA_UBICACION,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,PROMEDIO_AREAS,DESVIACION_AREAS,BRECHA_MEJOR_PEOR,MEJOR_AREA,PEOR_AREA,TIENE_INTERNET_Y_TV,INDICE_RECURSOS_HOGAR,DEDICACION_TOTAL_MIN,ZONA_RURAL,NIVEL_INGLES,Z_LECTURA_CRITICA,Z_MATEMATICAS,Z_C_NATURALES,Z_SOCIALES_CIUDADANAS,Z_INGLES,NIVEL_DESEMPENO_GLOBAL,PERCENTIL_GLOBAL,RATIO_LECTURA_MATEMATICAS,GRUPO_ESTRATO
0,15,3,1,1,1,2,45,120,0,69,58,61,55,64.0,305,61.4,5.412947441089743,14.0,PUNT_LECTURA_CRITICA,PUNT_SOCIALES_CIUDADANAS,1,3,165,0,alto,1.6114645005777173,0.5975703413652315,1.0305321538842407,0.5150296014768336,1.1011422020245727,Alto,82.69999999999999,1.1896551724137931,medio
0,26,1,0,0,1,1,120,15,1,57,52,53,41,49.0,253,50.4,5.9833101206606365,16.0,PUNT_LECTURA_CRITICA,PUNT_SOCIALES_CIUDADANAS,0,1,135,1,medio,0.4084301589743448,0.0905819295734629,0.2654275417076098,-0.6484408837870979,-0.20994948160525678,Medio,51.26666666666667,1.0961538461538463,bajo
0,22,2,0,0,0,1,0,120,0,46,30,34,37,38.0,184,37.0,5.916079783099616,16.0,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,0,0,120,0,bajo,-0.6943513208287467,-1.7683755803296886,-1.5516959122118887,-0.9808610224339355,-1.1714167162671316,Bajo,7.533333333333333,1.5333333333333334,medio
0,14,2,0,1,1,1,45,180,0,37,36,35,34,41.0,180,36.6,2.701851217221259,7.0,PUNT_INGLES,PUNT_SOCIALES_CIUDADANAS,0,2,225,0,medio,-1.596627077031276,-1.26138716853792,-1.4560578356898097,-1.2301761264190636,-0.9091983795411658,Bajo,5.733333333333333,1.0277777777777777,medio
0,5,3,1,1,1,1,15,45,0,56,57,49,37,59.0,252,51.6,8.988882021697693,22.0,PUNT_INGLES,PUNT_SOCIALES_CIUDADANAS,1,3,60,0,medio,0.3081772971740637,0.51307227273327,-0.11712476438070567,-0.9808610224339355,0.6641116408146295,Medio,50.76666666666667,0.9824561403508771,medio
1,15,3,1,1,1,0,0,180,1,61,51,57,58,61.0,285,57.6,4.098780306383839,10.0,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,1,3,180,1,alto,0.809441606175469,0.006083860941501454,0.6479798477959252,0.7643447054619619,0.8389238652986067,Medio,72.73333333333333,1.196078431372549,medio
1,15,2,1,1,1,1,15,15,0,54,53,52,53,58.0,267,54.0,2.345207879911715,6.0,PUNT_INGLES,PUNT_C_NATURALES,1,3,30,0,medio,0.10767157357350166,0.17507999820542433,0.16978946518553092,0.3488195321534149,0.5767055285726409,Medio,60.3,1.0188679245283019,medio
1,15,2,1,1,1,2,45,15,0,64,65,67,66,76.0,332,67.6,4.8270073544588685,12.0,PUNT_INGLES,PUNT_LECTURA_CRITICA,1,3,60,0,alto,1.110200191576312,1.1890568217889614,1.6043606130167138,1.429184982755637,2.1500155489284363,Alto,93.0,0.9846153846153847,medio
1,15,4,1,1,1,2,0,180,0,60,56,59,66,72.0,306,62.6,6.387487769068525,16.0,PUNT_INGLES,PUNT_MATEMATICAS,1,3,180,0,alto,0.709188744375188,0.42857420410130864,0.839256000840083,1.429184982755637,1.8003910999604817,Alto,83.46666666666667,1.0714285714285714,alto
1,14,2,1,0,1,0,90,120,0,60,62,59,53,58.0,292,58.4,3.361547262794322,9.0,PUNT_MATEMATICAS,PUNT_SOCIALES_CIUDADANAS,0,2,210,0,medio,0.709188744375188,0.9355626158930772,0.839256000840083,0.3488195321534149,0.5767055285726409,Medio,76.33333333333333,0.967741935483871,medio
1,19,3,1,1,0,1,120,120,0,51,67,63,58,58.0,298,59.4,6.024948132556828,16.0,PUNT_MATEMATICAS,PUNT_LECTURA_CRITICA,1,2,240,0,medio,-0.19308701182734148,1.3580529590528845,1.2218083069283985,0.7643447054619619,0.5767055285726409,Medio,79.63333333333334,0.7611940298507462,medio
